layer,research_code,parent_research_code,name_ar,name_fr,latitude,longitude,source_locator,existing_entity_id
imada,2354802,2354,عين الكرمة,Aïn El Karma,36.14434,8.379507,ADM4 row / research sector code 2354802; dated ADM3 parent 2354,
imada,2354799,2354,عين مازر,Aïn Mazer,36.331656,8.456005,ADM4 row / research sector code 2354799; dated ADM3 parent 2354,
imada,2354801,2354,فرشان,Forchane,36.187128,8.475666,ADM4 row / research sector code 2354801; dated ADM3 parent 2354,
imada,2355813,2355,الحوض,El Houdh,35.916225,8.670085,ADM4 row / research sector code 2355813; dated ADM3 parent 2355,
imada,2355810,2355,النجاة,Ennajet,36.067555,8.661596,ADM4 row / research sector code 2355810; dated ADM3 parent 2355,
imada,2355806,2355,تاجروين الجنوبية,Tajerouine Sud,35.869919,8.577839,ADM4 row / research sector code 2355806; dated ADM3 parent 2355,
imada,2355805,2355,تاجروين الشمالية,Tajerouine Nord,35.921443,8.576022,ADM4 row / research sector code 2355805; dated ADM3 parent 2355,
imada,2355812,2355,جزة,Jezza,35.973109,8.629656,ADM4 row / research sector code 2355812; dated ADM3 parent 2355,
imada,2355808,2355,حي بورقيبة,Cité Bourguiba,35.935609,8.507215,ADM4 row / research sector code 2355808; dated ADM3 parent 2355,
imada,2355809,2355,سيد مطير,Sidi Mtir,36.042854,8.625389,ADM4 row / research sector code 2355809; dated ADM3 parent 2355,
imada,2355811,2355,سيدي عبد الباسط,Sidi Abdelbasset,36.053752,8.536001,ADM4 row / research sector code 2355811; dated ADM3 parent 2355,
imada,2355816,2355,قرن حلفاية,Garn Halfaia,35.995528,8.478,ADM4 row / research sector code 2355816; dated ADM3 parent 2355,
imada,2351775,2351,الحوارث الجنوبية,Haouareth Sud,36.164866,8.699525,ADM4 row / research sector code 2351775; dated ADM3 parent 2351,
imada,2351774,2351,وادي الرمل الجنوبية,Oued Remel Sud,36.127264,8.616731,ADM4 row / research sector code 2351774; dated ADM3 parent 2351,
imada,2351773,2351,وادي الرمل الشمالية,Oued Remel Nord,36.191794,8.650152,ADM4 row / research sector code 2351773; dated ADM3 parent 2351,
imada,2353789,2353,الاذياب,Ledhieb,36.376487,8.701148,ADM4 row / research sector code 2353789; dated ADM3 parent 2353,
imada,2353795,2353,الشتاتلة,Chetatla,36.364553,8.948215,ADM4 row / research sector code 2353795; dated ADM3 parent 2353,
imada,2353790,2353,الطويرف,Touiref,36.311172,8.590532,ADM4 row / research sector code 2353790; dated ADM3 parent 2353,
