municipality_code,official_name_ar,research_mun_uid,review_status,reason
2223,طبرقة الجديدة,105,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
2224,حمام بورقيبة,107,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
3429,بئر علي الشمالية,215,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
3432,النور - صفاقس,219,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
3433,النصر,214,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
4127,الشوايحية,240,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
4129,الشواشي,236,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
5317,تطاوين الجنوبية,317,explicit_reviewed_residual,Resolved against the full one-to-one candidate set and neighboring residual identity
